암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,좌표(X),좌표(Y)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjEwMDIjNTEjJDEjJDIjJDgz,(의)효심의료재단 용인서울병원,21,병원,310000,경기,312003,용인처인구,고림동,17148,"경기도 용인시 처인구 고림로 81, (고림동)",031-337-0114,,20020612,127.2145364,37.2403912
JDQ4MTYyMiM1MSMkMSMkOCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ5MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,(재)예수의꽃동네유지재단 인곡자애병원,21,병원,330000,충북,330006,음성군,맹동면,27732,"충청북도 음성군 맹동면 꽃동네길 37-0,",043-879-0301,,19890330,127.5776409,36.941804
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjEyMjIjNjEjJDEjJDQjJDgz,(재)한·호기독교선교회 맥켄지일신기독병원,21,병원,210000,부산,210005,부산북구,덕천동,46543,"부산광역시 북구 금곡대로 133, (덕천동)",051-363-2331,,20150327,129.0077714,35.2209901
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,(재)한호기독선교회 정관일신기독병원,21,병원,210000,부산,210100,부산기장군,정관읍,46017,"부산광역시 기장군 정관읍 정관6로 31, 3-8, 10층",051-780-0600,,20180329,129.1774513,35.3197034
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,21세기병원,21,병원,320000,강원,320400,원주시,단계동,26382,"강원특별자치도 원주시 이화6길 7,  (단계동)",033-748-9999,,20111230,127.9327068,37.3434884
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEwMDIjNDEjJDEjJDQjJDgz,365병원,21,병원,380000,경남,380701,창원마산회원구,석전동,51316,"경상남도 창원시 마산회원구 3·15대로 686, (석전동)",055-248-0365,www.masan365.co.kr/,20100118,128.5794429,35.2336646
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,365엠씨(mc)병원,21,병원,110000,서울,110021,서초구,서초동,6634,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",02-3474-3653,http://www.365mc.co.kr,20130117,127.0141365,37.4929843
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjE4MzIjODEjJDEjJDIjJDgz,365엠씨병원,21,병원,210000,부산,210004,부산진구,부전동,47286,"부산광역시 부산진구 서면로 74, (부전동, 아이온시티빌딩)",051-809-3655,,20161005,129.0581339,35.1570677
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNDEjJDEjJDgjJDgz,365하하병원,21,병원,210000,부산,210012,부산강서구,명지동,46765,"부산광역시 강서구 명지오션시티4로 88, 3~7층 (명지동)",051-710-8899,,20200716,128.9032539,35.0811721
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,9988병원,21,병원,110000,서울,110011,성동구,행당동,4745,"서울특별시 성동구 왕십리로 269, (행당동)",02-2297-9988,,20171123,127.0375193,37.5585817
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,9988병원,21,병원,340000,충남,340900,당진시,채운동,31784,"충청남도 당진시 운학길 3-0, (채운동)",041-358-9988,,20200320,126.6248501,36.8925662
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,JS노송병원,21,병원,220000,인천,220005,인천서구,석남동,22790,"인천광역시 서구 가정로 280, 2~5층, 7층 (석남동)",516-5000,,20140317,126.6728633,37.5096673
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,MS재건병원,21,병원,230000,대구,230006,대구중구,동인동1가,41905,"대구광역시 중구 동덕로 194, (동인동1가, 동화빌딩)",053-653-0119,http://www.msrhospital.kr,20070822,128.6048872,35.8718541
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,SG삼성조은병원,21,병원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당25로 200, 2,3,4,5층 (불당동)",041-571-7581,,20170922,127.109134,36.8188843
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,W(더블유)여성병원,21,병원,220000,인천,220001,인천미추홀구,주안동,22227,"인천광역시 미추홀구 인주대로 400, 제일여성병원 2층 일부, 3-5층, 8층 (주안동)",032-451-0000,,20121101,126.6811652,37.4509653
JDQ4MTYyMiM4MSMkMSMkOCMkOTkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE0ODEjNjEjJDEjJDQjJDgz,WE병원,21,병원,390000,제주,390100,서귀포시,회수동,63551,"제주특별자치도 서귀포시 1100로 453-95, (회수동)",064-730-1421,,20140124,126.4441678,33.2860122
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQwMyQzNjEwMDIjODEjJDEjJDIjJDgz,W여성병원,21,병원,230000,대구,230005,대구수성구,만촌동,42038,"대구광역시 수성구 화랑로 58, (만촌동)",053-757-2000,,20030519,128.6339412,35.8708049
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEyMjIjNTEjJDEjJDYjJDgz,the큰병원,21,병원,380000,경남,380704,창원의창구,명서동,51388,"경상남도 창원시 의창구 우곡로217번길 10, (명서동, 지하1,2층지상2,3,4,5,6,7,8층)",055-270-0800,http://www.grandhospital.com,20091123,128.6487951,35.2396798
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,가자연세병원,21,병원,110000,서울,110010,서대문구,남가좌동,3712,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",02-304-5660,,20150811,126.9165989,37.5689576
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,가자연세병원,21,병원,310000,경기,312300,김포시,사우동,10108,"경기도 김포시 돌문로 43, 2층 (사우동)",031-998-8009,,20170929,126.717813,37.6188812
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQzNjE4MzIjNDEjJDEjJDgjJDgz,가제트병원,21,병원,240000,광주,240005,광주남구,방림동,61665,"광주광역시 남구 대남대로127번길 5, 가제트병원 (방림동)",062-710-9111,,20161128,126.9113533,35.1333715
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNjEjJDEjJDgjJDgz,가천대부속 동인천길병원,21,병원,220000,인천,220004,인천중구,용동,22318,"인천광역시 중구 큰우물로 21, (용동, 지하1층, 1층, 3~5층, 8층)",032-770-1300,,20160422,126.631332,37.4737923
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz,가톨릭병원,21,병원,250000,대전,250003,대전서구,용문동,0,"대전광역시 서구 도산로 351- ,  (용문동)",042-537-0222,http://www.dcoh.co.kr,20080801,127.390352,36.3364138
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,감청수병원,21,병원,380000,경남,380100,김해시,삼정동,50934,"경상남도 김해시 김해대로 2459, (삼정동, 감청수병원)",055-336-7582,,20040209,128.8958783,35.2279404
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,강남고려병원,21,병원,110000,서울,110004,관악구,봉천동,8735,"서울특별시 관악구 관악로 242, (봉천동)",1661-8267,,19950520,126.9567943,37.4856349
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5MiQyNjE0ODEjNDEjJDEjJDgjJDgz,강남더드림병원,21,병원,110000,서울,110001,강남구,대치동,6198,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",1661-1177,,20220228,127.0509906,37.5009956
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강남병원,21,병원,360000,전남,360700,광양시,중동,57794,"전라남도 광양시 중마중앙로 17, (중동)",061-818-7575,www.e-gangnam.net/,20070723,127.697625,34.9317763
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz,강남병원,21,병원,370000,경북,370200,구미시,원평동,39229,"경상북도 구미시 금오시장로2길 21,  (원평동)",054-458-9300,http://knhospital.kr,20100601,128.3422495,36.1244181
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ4MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,강남수병원,21,병원,110000,서울,110018,송파구,삼전동,5594,"서울특별시 송파구 삼전로2길 11, (삼전동)",02-421-7100,,20070430,127.0861578,37.5013402
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,강남여성병원,21,병원,310000,경기,310603,수원팔달구,인계동,16471,"경기도 수원시 팔달구 중부대로 96, (인계동)",031-222-7575,http://gangnamhospital.co.kr/,19950713,127.0275151,37.2767458
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjE0ODEjNjEjJDEjJDAjJDgz,강남와이케이병원,21,병원,110000,서울,110001,강남구,논현동,6053,"서울특별시 강남구 학동로 233, 디와이빌딩 3층일부,4~6층 (논현동)",02-6967-8200,,20210126,127.0347193,37.5155109
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQyIyQ3IyQwMCQ0NjEwMDIjNjEjJDEjJDgjJDgz,강남유나이티드병원,21,병원,110000,서울,110001,강남구,도곡동,6267,"서울특별시 강남구 남부순환로 2609, 하늘빌딩, 7~12층 (도곡동) (도곡동)",02-2138-0075,,20070612,127.0351301,37.4849802
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz,강남을지대학교병원,21,병원,110000,서울,110001,강남구,논현동,6047,"서울특별시 강남구 도산대로 202, 강남을지병원 B2~9층 (논현동)",02-3438-1022,http://gangnam.eulji.or.kr/,20090831,127.0286438,37.5194124
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDIjJDgz,강남제이에스병원,21,병원,110000,서울,110001,강남구,도곡동,6259,"서울특별시 강남구 도곡로 122, 제이에스빌딩 (도곡동)",02-533-3600,,20131114,127.033745,37.4899185
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQyIyQ3IyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz,강남지인병원,21,병원,110000,서울,110001,강남구,논현동,6106,"서울특별시 강남구 언주로 631, 강남웨딩홀 지하2,2~6층 (논현동)",02-6985-4119,,20180914,127.03505,37.5127891
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNjEjJDEjJDQjJDgz,강남초이스병원,21,병원,110000,서울,110004,관악구,봉천동,8786,"서울특별시 관악구 남부순환로 1796, -1,2~5층 (봉천동, 삼호빌딩)",02-875-2200,,20100514,126.949598,37.4813211
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3MiQyNjEwMDIjNTEjJDEjJDIjJDgz,강남초이스정형외과병원,21,병원,110000,서울,110001,강남구,역삼동,6150,"서울특별시 강남구 테헤란로 337, (역삼동, 4~9층)",02-539-2250,http://www.choicehospital.co.kr,20150724,127.0484885,37.5047776
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz,강남힐병원,21,병원,110000,서울,110004,관악구,신림동,8767,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",853-4600,,20060126,126.9117246,37.4815953
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,강남힘찬병원,21,병원,110000,서울,110018,송파구,송파동,5621,"서울특별시 송파구 백제고분로 407, (송파동, 지하 2층~7층)",1899-2225,http://www.himchanhospital.com/02_hospital/hospital_sub0103.html,20091006,127.1099004,37.5075981
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,강동미즈여성병원,21,병원,110000,서울,110002,강동구,천호동,5335,"서울특별시 강동구 천호대로 1043, 강동미즈병원 (천호동)",02-470-9114,http://www.gdmiz.com/intro.asp,20031205,127.128117,37.5376208
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjNjEjJDEjJDgjJDgz,강동병원,21,병원,210000,부산,210010,부산사하구,신평동,49393,"부산광역시 사하구 다대로 145, (신평동)",051-292-1940,,19930430,128.9782847,35.0896572
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQ0NjEwMDIjNzEjJDEjJDgjJDgz,강동연세병원,21,병원,110000,서울,110002,강동구,천호동,5323,"서울특별시 강동구 올림픽로 734, (천호동)",02-1899-0102,강동연세병원.com,20120316,127.1266323,37.5467696
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,강병원,21,병원,310000,경기,312800,포천시,신읍동,11144,"경기도 포천시 포천로 1570, (신읍동)",031-535-2119,,20010518,127.2046956,37.8981468
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,강병원,21,병원,380000,경남,380003,고성군,고성읍,52942,"경상남도 고성군 고성읍 중앙로 49, (고성읍)",055-673-0101,,20060814,128.3254109,34.9741871
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,강북21세기병원,21,병원,110000,서울,110019,중랑구,상봉동,2138,"서울특별시 중랑구 면목로 473, (상봉동)",1577-6336,www.kb21spine.co.kr/,19840403,127.0856598,37.594048
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjEwMDIjODEjJDEjJDYjJDgz,강북연세병원,21,병원,110000,서울,110022,노원구,공릉동,1849,"서울특별시 노원구 동일로 996, (공릉동)",02-2092-5505,,20160310,127.0754877,37.6191956
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz,강북우리들병원,21,병원,110000,서울,110024,강북구,수유동,1070,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",02-6222-1000,,20121012,127.022638,37.6425442
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjEwMDIjNjEjJDEjJDQjJDgz,강북으뜸병원,21,병원,110000,서울,110024,강북구,미아동,1170,"서울특별시 강북구 도봉로 187, 지하1층, 2층~5층 (미아동)",02-986-0334,,20200311,127.026202,37.6254286
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ2MiQyNjE4MzIjNjEjJDEjJDAjJDgz,강서바른세상병원,21,병원,110000,서울,110003,강서구,방화동,7614,"서울특별시 강서구 금낭화로 9, 바른세상병원 1,2,3,4,5,층 6,7호 (방화동)",02-2603-0300,,20190614,126.8116185,37.5661467
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQyIyQzIyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz,강서송도병원,21,병원,110000,서울,110003,강서구,등촌동,7591,"서울특별시 강서구 공항대로 315, (등촌동, 서울시니어강서타워)",02-2659-0600,http://www.gsongdo.com,20030128,126.8427872,37.5585273
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjODEjJDEjJDYjJDgz,강서힘찬병원,21,병원,110000,서울,110003,강서구,등촌동,7591,"서울특별시 강서구 강서로56길 38, (등촌동, 강서힘찬병원)",02-1899-2228,www.himchanhospital.com,20100903,126.8406822,37.5592035
JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,강원특별자치도재활병원,21,병원,320000,강원,320500,춘천시,우두동,24227,"강원특별자치도 춘천시 충열로142번길 24-16,  (우두동)",033-248-7700,,20050530,127.7411391,37.9036442
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz,개나리소아청소년과병원,21,병원,210000,부산,210012,부산강서구,명지동,46726,"부산광역시 강서구 명지국제8로 269, 유당빌딩 4~5층 (명지동)",051-202-1113,http://www.gaenari.co.kr/,20190919,128.92243,35.0981159
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjEwMDIjODEjJDEjJDYjJDgz,거인병원,21,병원,210000,부산,210003,부산동래구,사직동,47876,"부산광역시 동래구 여고로 12, 거인병원 지하1,지상2~10층 (사직동)",996-7000,,20221104,129.0653569,35.1946237
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,거제아동병원,21,병원,380000,경남,381000,거제시,고현동,53259,"경상남도 거제시 동문천로 52, (고현동)",055-632-8225,www.geojechildren.com/,20090512,128.6262587,34.8828723
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz,거제중앙병원,21,병원,380000,경남,381000,거제시,고현동,53253,"경상남도 거제시 고현로 89, (고현동)",055-635-3211,,20030522,128.6222499,34.8866515
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNTEjJDEjJDYjJDgz,거창적십자병원,21,병원,380000,경남,380002,거창군,거창읍,50132,"경상남도 거창군 거창읍 중앙로 91, (거창읍)",055-944-3251,http://www.rch.or.kr/geochang,19740903,127.9087378,35.6867599
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ2MiQyNjE0ODEjNTEjJDEjJDYjJDgz,건강만세365병원,21,병원,210000,부산,210008,부산중구,대청동2가,48933,"부산광역시 중구 대청로 105, 건강만세365병원 -1,1~9층 (대청동2가)",051-711-0365,,20200103,129.0313991,35.1031753
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQyNjEyMjIjNDEjJDEjJDgjJDgz,건강한윌병원,21,병원,260000,울산,260001,울산남구,신정동,44679,"울산광역시 남구 중앙로 282, 5~11층 (신정동)",1833-2922,,20211101,129.3101817,35.5458733
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,건양의료재단 김안과병원,21,병원,110000,서울,110013,영등포구,영등포동4가,7301,"서울특별시 영등포구 영신로 136, (영등포동4가)",1577-2639,http://www.kimeye.com/kimeye/,19920801,126.9014955,37.5197392
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,건주병원,21,병원,310000,경기,310301,부천소사구,,14679,"경기도 부천시 소사구 경인로536번길 27, 메디슨167 3,4,5층 (괴안동)",1855-1119,,20210426,126.8155634,37.4847387
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,검단위키즈 병원,21,병원,220000,인천,220005,인천서구,원당동,22865,"인천광역시 서구 원당대로 1039, 태경타워 3,4층 전체호 (원당동)",032-713-3300,,20230425,126.7163342,37.5938029
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQyIyQxIyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,검단조은아이365병원,21,병원,220000,인천,220005,인천서구,원당동,22866,"인천광역시 서구 발산로5번길 12, 인천검단 엔젤리움1차 윈팰리스 6,7층 (원당동)",032-721-8288,,20230714,126.7110779,37.5933735
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDAjJDgz,경대자연병원,21,병원,230000,대구,230003,대구북구,연경동,41409,"대구광역시 북구 동화천로 241, 4~7층 (연경동)",053-267-5011,,20210325,,
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQyNjE0ODEjNjEjJDEjJDAjJDgz,경북권역재활병원,21,병원,370000,경북,371000,경산시,평산동,38607,"경상북도 경산시 미래로 120-0,  (평산동)",053-230-8800,,20210118,128.7653058,35.8149451
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,경북재활병원,21,병원,370000,경북,370400,안동시,서후면,36616,"경상북도 안동시 서후면 광평2길 26, (서후면)",054-858-8410,,20030110,128.6959574,36.6539126
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQxMyQyNjE4MzIjNTEjJDEjJDYjJDgz,경인권역재활병원,21,병원,220000,인천,220007,인천연수구,연수동,21935,"인천광역시 연수구 원인재로 263, (연수동)",032-899-4591,,20101008,126.6896544,37.4184945
